STATE_NAME,BIDEN,TRUMP,K
Alaska,44,54,112
Hawaii,64,34,118
California,62,36,2223
Oregon,61,37,493
Idaho,40,48,167
Washington,61,37,736
Montana,45,52,126
Wyoming,31,67,65
Nevada,51,48,301
Arizona,53,46,556
Colorado,59,40,571
North Dakota,40,59,59
South Dakota,43,55,96
Nebraska,46,52,177
Utah,42,52,246
New Mexico,53,45,258
Minnesota,56,42,500
Iowa,49,49,276
Missouri,45,53,431
Kansas,47,51,314
Oklahoma,40,59,279
Texas,48,50,1457
Wisconsin,51,49,446
Illinois,57,40,764
Kentucky,42,57,338
Arkansas,39,59,203
Louisiana,38,59,257
Indiana,44,54,443
West Virginia,33,66,127
Tennessee,42,56,469
Mississippi,37,62,172
Michigan,50,50,709
Ohio,46,51,759
Maryland,67,32,545
Virginia,55,43,684
South Carolina,44,54,440
Georgia,50,49,656
Florida,47,49,1405
Pennsylvania,51,47,998
Delaware,62,36,121
New York,64,33,977
New Jersey,60,37,604
Vermont,67,30,100
Massachusetts,70,28,531
New Jersey,60,37,604
District of Columbia,88,10,91
Connecticut,63,35,349
Maine,56,42,174
New Hampshire,51,45,162
Rhode Island,68,31,84
Alabama,38,61,312
North Carolina,51,49,776
